ZIPCode,Educated
10001,0.685877021
10002,0.303814088
10003,0.785707348
10004,0.815269855
10005,0.884111522
10006,0.837189374
10007,0.787802027
10009,0.59150216
10010,0.755004406
10011,0.77252037
10012,0.774391792
10013,0.629424891
10014,0.819493404
10015,0
10016,0.77115629
10017,0.809230318
10018,0.726653696
10019,0.706027536
10020,0
10021,0.803399107
10022,0.809456376
10023,0.810657758
10024,0.776250664
10025,0.673521816
10026,0.407384757
10027,0.438975389
10028,0.807147422
10029,0.305752058
10030,0.274872767
10031,0.303239997
10032,0.280268404
10033,0.325511673
10034,0.303943302
10035,0.235394456
10036,0.681396157
10037,0.34384466
10038,0.587737017
10039,0.261843868
10040,0.338980426
10041,0
10044,0.602736774
10045,0
10048,0
10055,0
10060,0
10065,0.802306234
10069,0.886859688
10075,0.801614315
10090,0
10095,0
10098,0
10099,
10103,0
10104,0
10105,0
10106,0
10107,0
10110,1
10111,0
10112,0
10115,0
10118,0
10119,0
10120,0
10121,0
10122,0
10123,0
10128,0.7919119
10151,0
10152,0
10153,0
10154,0
10155,0
10158,0
10161,0
10162,0.981330222
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10199,0
10270,0
10271,0
10278,0
10279,0
10280,0.82920682
10281,0
10282,0.870596869
10301,0.320320078
10302,0.21655504
10303,0.226599349
10304,0.291951546
10305,0.323587609
10306,0.305258812
10307,0.352965748
10308,0.293232733
10309,0.322977518
10310,0.278466963
10311,0
10312,0.330392755
10314,0.314981062
10451,0.154331254
10452,0.113696992
10453,0.117944236
10454,0.090650236
10455,0.093327649
10456,0.108687826
10457,0.122885151
10458,0.120995553
10459,0.107959778
10460,0.10407332
10461,0.260634268
10462,0.240632019
10463,0.373867968
10464,0.419621749
10465,0.228366467
10466,0.213072487
10467,0.185809997
10468,0.16411149
10469,0.242757701
10470,0.297072747
10471,0.542461118
10472,0.116470176
10473,0.170228085
10474,0.107465592
10475,0.251602612
10803,0.638167565
11001,0.42124908
11004,0.407523819
11005,0.490343853
11040,0.452840021
11101,0.399059002
11102,0.40747049
11103,0.442948287
11104,0.416115277
11105,0.450482189
11106,0.415066771
11109,0.826003299
11201,0.689216141
11203,0.200652034
11204,0.247937565
11205,0.417349189
11206,0.212912309
11207,0.128055775
11208,0.113907432
11209,0.439786528
11210,0.328061188
11211,0.432708523
11212,0.111236931
11213,0.204331762
11214,0.256792562
11215,0.702834212
11216,0.378163797
11217,0.623256127
11218,0.404320661
11219,0.162391589
11220,0.183823308
11221,0.20183728
11222,0.540329973
11223,0.254587156
11224,0.307620005
11225,0.301666129
11226,0.226896458
11228,0.297835099
11229,0.362965541
11230,0.370185192
11231,0.590410387
11232,0.216579883
11233,0.191600813
11234,0.315188016
11235,0.436290931
11236,0.255101093
11237,0.195873526
11238,0.566196822
11239,0.227605019
11241,0
11242,0
11243,0
11249,0
11251,0
11252,0
11256,0
11351,0
11354,0.25348291
11355,0.247427992
11356,0.227086614
11357,0.347786445
11358,0.364376098
11359,0
11360,0.508768524
11361,0.415647149
11362,0.494079422
11363,0.51201692
11364,0.45647369
11365,0.354799594
11366,0.456695536
11367,0.406110616
11368,0.112974193
11369,0.189615745
11370,0.20345782
11371,0
11372,0.303423748
11373,0.265002633
11374,0.472452922
11375,0.572132893
11377,0.282094515
11378,0.248078452
11379,0.310342237
11385,0.21245269
11411,0.301527531
11412,0.217172709
11413,0.258748712
11414,0.275015175
11415,0.444264488
11416,0.222889374
11417,0.209822491
11418,0.263789654
11419,0.173356079
11420,0.175359033
11421,0.217140175
11422,0.287994772
11423,0.266318067
11426,0.366649631
11427,0.334008097
11428,0.21103716
11429,0.198692046
11430,0.121621622
11432,0.344292638
11433,0.176558209
11434,0.220880699
11435,0.294465568
11436,0.174427079
11691,0.19554574
11692,0.194526166
11693,0.247354497
11694,0.38774583
11695,0
11697,0.442566402
