Income,ZIPCode
77512,10001
26905,10002
79088,10003
98020,10004
99633,10005
97226,10006
173257,10007
44714,10009
81938,10010
111064,10011
77712,10012
96781,10013
107342,10014
0,10015
87576,10016
104324,10017
76632,10018
86447,10019
0,10020
115478,10021
132596,10022
99916,10023
97669,10024
56151,10025
30904,10026
27977,10027
111660,10028
25577,10029
23064,10030
22954,10031
19137,10032
23976,10033
22776,10034
19691,10035
72435,10036
25736,10037
59309,10038
20185,10039
24468,10040
0,10041
46709,10044
0,10045
0,10048
0,10055
0,10060
113444,10065
118923,10069
113485,10075
0,10090
0,10095
0,10098
0,10099
0,10103
0,10104
0,10105
0,10106
0,10107
0,10110
0,10111
0,10112
0,10115
0,10118
0,10119
0,10120
0,10121
0,10122
0,10123
91988,10128
0,10151
0,10152
0,10153
0,10154
0,10155
0,10158
0,10161
107132,10162
0,10165
0,10166
0,10167
0,10168
0,10169
0,10170
0,10171
0,10172
0,10173
0,10174
0,10175
0,10176
0,10177
0,10178
0,10199
0,10270
0,10271
0,10278
0,10279
90980,10280
0,10281
138381,10282
28054,10301
23165,10302
22593,10303
27811,10304
30178,10305
35187,10306
34894,10307
36756,10308
37508,10309
27220,10310
0,10311
36127,10312
33822,10314
15672,10451
12942,10452
12459,10453
11429,10454
12442,10455
12157,10456
12768,10457
14046,10458
12616,10459
12795,10460
27484,10461
22296,10462
31572,10463
43196,10464
30235,10465
19944,10466
18103,10467
15710,10468
23044,10469
28926,10470
41945,10471
14970,10472
19760,10473
11609,10474
26215,10475
73829,10803
40788,11001
36326,11004
70320,11005
39228,11040
34276,11101
28118,11102
32578,11103
31798,11104
33350,11105
31376,11106
91699,11109
68287,11201
22555,11203
20284,11204
26331,11205
17241,11206
16386,11207
15154,11208
36870,11209
25229,11210
30557,11211
15814,11212
18635,11213
23134,11214
58737,11215
28134,11216
53380,11217
24828,11218
14419,11219
16257,11220
19340,11221
40119,11222
22570,11223
20916,11224
23552,11225
21483,11226
29683,11228
27246,11229
23792,11230
52748,11231
19325,11232
19696,11233
29736,11234
29182,11235
24929,11236
18373,11237
40557,11238
19169,11239
0,11241
0,11242
0,11243
0,11249
0,11251
0,11252
0,11256
0,11351
23833,11354
19811,11355
24417,11356
34857,11357
30097,11358
0,11359
43697,11360
33806,11361
38018,11362
42724,11363
33783,11364
27555,11365
31680,11366
26144,11367
16061,11368
21072,11369
18161,11370
0,11371
25416,11372
21905,11373
32415,11374
44032,11375
23505,11377
29422,11378
33357,11379
24197,11385
31752,11411
25496,11412
28580,11413
35199,11414
35734,11415
21338,11416
24237,11417
23317,11418
19170,11419
22129,11420
23475,11421
29035,11422
25657,11423
31453,11426
29657,11427
23357,11428
24564,11429
8278,11430
21641,11432
17236,11433
23690,11434
23353,11435
23204,11436
19097,11691
21118,11692
25732,11693
37351,11694
0,11695
39540,11697
