Population,ZIPCode
22767,10001
79894,10002
57068,10003
3024,10004
7570,10005
2950,10006
6748,10007
61806,10009
30708,10010
52941,10011
24846,10012
26937,10013
31835,10014
0,10015
50112,10016
16278,10017
8062,10018
38752,10019
0,10020
42142,10021
29699,10022
60762,10023
59249,10024
97373,10025
38372,10026
63057,10027
46169,10028
77857,10029
29530,10030
58912,10031
59069,10032
60520,10033
42672,10034
34760,10035
24127,10036
18041,10037
20997,10038
25952,10039
45278,10040
0,10041
12050,10044
0,10045
0,10048
0,10055
0,10060
31761,10065
5523,10069
24377,10075
0,10090
0,10095
0,10098
0,10099
0,10103
0,10104
0,10105
0,10106
0,10107
1,10110
0,10111
0,10112
0,10115
0,10118
0,10119
0,10120
0,10121
0,10122
0,10123
62447,10128
0,10151
0,10152
0,10153
0,10154
0,10155
0,10158
0,10161
1252,10162
0,10165
0,10166
0,10167
0,10168
0,10169
0,10170
0,10171
0,10172
0,10173
0,10174
0,10175
0,10176
0,10177
0,10178
0,10199
0,10270
0,10271
0,10278
0,10279
8817,10280
0,10281
5903,10282
39367,10301
18043,10302
24348,10303
41864,10304
41471,10305
54888,10306
15006,10307
29805,10308
33382,10309
24719,10310
0,10311
61105,10312
87524,10314
47818,10451
75252,10452
79002,10453
38751,10454
39951,10455
91737,10456
71015,10457
76276,10458
48269,10459
58676,10460
52435,10461
76114,10462
71238,10463
4532,10464
46360,10465
69657,10466
99251,10467
72683,10468
72241,10469
14880,10470
21935,10471
69659,10472
59948,10473
12223,10474
44582,10475
12523,10803
27156,11001
14045,11004
2123,11005
40799,11040
25317,11101
35027,11102
38257,11103
26555,11104
36816,11105
38633,11106
4337,11109
56488,11201
77011,11203
80349,11204
43320,11205
83180,11206
93465,11207
92262,11208
72582,11209
67042,11210
94681,11211
87751,11212
62756,11213
88297,11214
70156,11215
54440,11216
38567,11217
75132,11218
98719,11219
101715,11220
83773,11221
34580,11222
76651,11223
42698,11224
59613,11225
98299,11226
46059,11228
81351,11229
87064,11230
34605,11231
29452,11232
69637,11233
95610,11234
75622,11235
97714,11236
55258,11237
51959,11238
12943,11239
0,11241
0,11242
0,11243
0,11249
0,11251
0,11252
0,11256
0,11351
56433,11354
83799,11355
23800,11356
40588,11357
37634,11358
0,11359
19916,11360
30352,11361
17897,11362
7625,11363
34902,11364
43138,11365
13146,11366
41582,11367
110385,11368
39862,11369
36271,11370
0,11371
63202,11372
100713,11373
41792,11374
69652,11375
88939,11377
30854,11378
35725,11379
100132,11385
19177,11411
37690,11412
41689,11413
28742,11414
19020,11415
25973,11416
31556,11417
36751,11418
48370,11419
50162,11420
42745,11421
32589,11422
32053,11423
19348,11426
23460,11427
20461,11428
27506,11429
171,11430
62395,11432
37927,11433
65255,11434
54523,11435
18609,11436
62577,11691
17970,11692
11338,11693
21507,11694
0,11695
4078,11697
