Active Date,COUNTY,SED CODE,LEGAL NAME,INSTITUTION TYPE CODE,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE CODE,INSTITUTION SUB TYPE DESCRIPTION,NEEDS RESOURCE CODE,NEEDS RESOURCE DESCRIPTION,GRADE ORGANIZATION CODE,GRADE ORGANIZATION DESCRIPTION,COMMUNITY TYPE CODE,COMMUNITY TYPE DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP,SALUTATION,CEO FIRST NAME,CEO LAST NAME,CEO_PHONE,CEO EMAIL,
07/01/2003,NEW YORK,307500011094,PS 94,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,55 BATTERY PL,NEW YORK,NY,10001,MS.,RONNIE,SHUSTER,2122665810,rshuste@schools.nyc.gov,
07/01/1980,NEW YORK,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,16,SCHOOL DISTRICTS,1,CITY,1,NEW YORK CITY,,,71,NEW YORK CITY,333 7TH AVE-7TH FL,NEW YORK,NY,10001,MS.,EDNA,LABOY,2123563739,blaboy@schools.nyc.gov,
07/01/2003,NEW YORK,310200010033,PS 33 CHELSEA PREP,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,281 9TH AVE,NEW YORK,NY,10001,MS.,CHINGCHIEN,WANG,2122446426,cwang@schools.nyc.gov,
07/01/2014,NEW YORK,310200010933,CITY KNOLL MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,,,,,425 W 33RD ST,NEW YORK,NY,10001,MS.,VICTORIA,ARMAS,2126959115,varmas2@schools.nyc.gov,
07/01/2003,NEW YORK,310200011570,SATELLITE ACADEMY HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,120 W 30TH ST,NEW YORK,NY,10001,MR.,STEVEN,ZBAIDA,6466742800,szbaida@schools.nyc.gov,
07/02/2011,NEW YORK,310200996095,AVENUES NEW YORK LLC,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,4,Junior-Senior High,71,NEW YORK CITY,259 10TH AVE,NEW YORK,NY,10001,MS.,LAUREN,BEDELL,2129355000,lbedell@avenues.org,
07/01/2003,NEW YORK,310200999971,MCCARTON SCHOOL (THE),14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,7,Special,71,NEW YORK CITY,331 W 25TH ST,NEW YORK,NY,10001,DR.,IVY,FELDMAN,2122291715,ifeldman@keswellschool.org,
07/01/1989,NEW YORK,342500998065,"BIRCH FAMILY SERVICES, INC",14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,7,Special,71,NEW YORK CITY,104W 29TH ST-3RD FL,NEW YORK,NY,10001,MR.,MATTHEW,STURIALE,2126161811,Matt.sturiale@birchfamilyservices.org,
07/01/1980,NEW YORK,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,16,SCHOOL DISTRICTS,1,CITY,1,NEW YORK CITY,,,71,NEW YORK CITY,166 ESSEX ST,NEW YORK,NY,10002,MS.,DANIELLA,PHILLIPS,2123532948,dphilli@schools.nyc.gov,
07/01/1980,NEW YORK,310100010020,PS 20 ANNA SILVER,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,166 ESSEX ST,NEW YORK,NY,10002,MS.,CARMEN,COLON,2122549577,ccolon5@schools.nyc.gov,
07/01/1980,NEW YORK,310100010110,PS 110 FLORENCE NIGHTINGALE,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,285 DELANCEY ST,NEW YORK,NY,10002,MS.,KAREN,FEUER,2126742690,kfeuer@schools.nyc.gov,
07/01/1980,NEW YORK,310100010134,PS 134 HENRIETTA SZOLD,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,293 E BROADWAY,NEW YORK,NY,10002,MR.,DANIEL,KIM,2126734470,dkim@schools.nyc.gov,
07/01/1980,NEW YORK,310100010137,PS 137 JOHN L BERNSTEIN,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,293 E BROADWAY,NEW YORK,NY,10002,MS.,SARAH,PINTO VIAGRAN,2126022140,spinto4@schools.nyc.gov,
07/01/1980,NEW YORK,310100010140,PS 140 NATHAN STRAUS,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,123 RIDGE ST,NEW YORK,NY,10002,MS.,MELISSA,RODRIGUEZ,2126774680,mrodrig19@schools.nyc.gov,
07/01/1980,NEW YORK,310100010142,PS 142 AMALIA CASTRO,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,100 ATTORNEY ST,NEW YORK,NY,10002,MS.,DAPHNA,GUTMAN,2125983800,dgutman@schools.nyc.gov,
07/01/2003,NEW YORK,310100010184,PS 184 SHUANG WEN,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,327 CHERRY ST-2ND FL,NEW YORK,NY,10002,MS.,IRIS,CHIU,2126029700,ichiu@schools.nyc.gov,
07/01/1980,NEW YORK,310100010188,PS 188 ISLAND SCHOOL (THE),17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,1,Elementary,71,NEW YORK CITY,442 E HOUSTON ST,NEW YORK,NY,10002,MR.,SUANY,RAMOS,2126775710,sramos4@schools.nyc.gov,
07/01/2004,NEW YORK,310100010332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,220 HENRY ST,NEW YORK,NY,10002,MS.,LAURA,PEYNADO CASTRO,2122675701,lpeynad@schools.nyc.gov,
07/01/2006,NEW YORK,310100010345,"COLLABORATIVE ACAD OF SCIENCE, TECHNOLOGY AND LANGUAGE ARTS ED",17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,220 HENRY ST,NEW YORK,NY,10002,MR.,ANTHONY,CHIANESE,2122270762,achiane@schools.nyc.gov,
07/01/2008,NEW YORK,310100010378,SCHOOL FOR GLOBAL LEADERS,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,2,Middle,71,NEW YORK CITY,145 STANTON ST,NEW YORK,NY,10002,MS.,CARRY,CHAN,2122605375,cchan2@schools.nyc.gov,
07/01/2004,NEW YORK,310100011292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,4,Junior-Senior High,71,NEW YORK CITY,220 HENRY ST,NEW YORK,NY,10002,MR.,MILES,DOYLE,2124069411,mdoyle9@schools.nyc.gov,
07/01/2003,NEW YORK,310100011448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,200 MONROE ST,NEW YORK,NY,10002,MS.,ELIZABETH,COLLINS,2129624341,ecollin4@schools.nyc.gov,
05/04/1990,NEW YORK,310100011458,FORSYTHE SATELLITE ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,198 FORSYTH ST,NEW YORK,NY,10002,MS.,INGRID,ROBERTS HAYNES,2126778900,irobert4@schools.nyc.gov,
07/01/1994,NEW YORK,310100011509,MARTA VALLE HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,145 STANTON ST,NEW YORK,NY,10002,MR.,STEVEN,ARAGONA,2124738152,saragona@schools.nyc.gov,
07/01/2003,NEW YORK,310100011515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,145 STANTON ST-4TH FL,NEW YORK,NY,10002,MS.,MARTHA,POLIN,2125056366,mpolin@schools.nyc.gov,
07/01/2003,NEW YORK,310100011539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,6,K-12,71,NEW YORK CITY,111 COLUMBIA ST,NEW YORK,NY,10002,MR.,MARK,BERKOWITZ,2126775190,mberkow5@schools.nyc.gov,
07/01/1998,NEW YORK,310100011650,CASCADES HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,198 FORSYTH ST-3RD FL,NEW YORK,NY,10002,MR.,EZEQUIEL,GARCIA,6466541261,egarcia15@schools.nyc.gov,
07/01/2004,NEW YORK,310100011696,BARD HIGH SCHOOL EARLY COLLEGE,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,1,NEW YORK CITY,5,Senior High,71,NEW YORK CITY,525 E HOUSTON ST,NEW YORK,NY,10002,DR.,MICHAEL,LERNER,2129958479,mlerner3@schools.nyc.gov,
07/01/1980,NEW YORK,310100227822,BETH JACOB ELEMENTARY SCHOOL,14,NON-PUBLIC SCHOOLS,16,JEWISH,,,1,Elementary,71,NEW YORK CITY,142 BROOME ST,NEW YORK,NY,10002,MS.,RACHEL,KAHN,2124734500,bjrk@bethjacob.info,
